emp_no,first_name,last_name,from_date,title
418247,Oscar,Oppitz,2002-07-27,Senior Staff
109211,Gor,Delgrande,2002-06-18,Engineer
22185,Huai,Birch,2002-06-12,Assistant Engineer
490720,Younwoo,Samarati,2002-05-18,Senior Engineer
61253,Cheong,Uhrik,2002-05-09,Engineer
239426,Vesna,Fairtlough,2002-05-07,Engineer
402827,Weidon,Pollacia,2002-03-24,Senior Staff
21546,Yongmin,Lanteri,2002-03-19,Senior Staff
422146,Kenton,Miara,2002-03-13,Engineer
272452,Mitsuyuki,Isard,2002-02-27,Engineer
292146,Khatoun,Pulkowski,2002-01-09,Engineer
241292,Uri,Lampe,2001-12-11,Senior Staff
246798,Tianruo,Strooper,2001-12-07,Staff
94416,Aran,Cesareni,2001-11-20,Senior Staff
405063,Yechezkel,Yurov,2001-11-16,Senior Engineer
241872,Bluma,Fetvedt,2001-11-14,Senior Staff
200312,Akemi,Fujisaki,2001-11-13,Senior Engineer
242019,Herb,Murrill,2001-10-28,Senior Engineer
438038,Lena,Giaccio,2001-10-03,Senior Staff
34780,Moni,Kohling,2001-09-18,Staff
32714,Radoslaw,Maliniak,2001-09-18,Staff
463212,Ramya,Rossi,2001-09-02,Senior Engineer
258028,Mountaz,Reinhart,2001-07-03,Engineer
471939,Kazuhiko,Marshall,2001-06-04,Staff
461120,Shietung,Gelosh,2001-04-01,Engineer
437870,Kerhong,Lorho,2001-03-17,Staff
467591,Kiyotoshi,Hennebert,2001-03-06,Staff
71334,Cathie,Peck,2001-03-04,Engineer
408447,Mayuri,Werthner,2001-02-20,Senior Staff
41518,Keung,Schapiro,2001-02-08,Senior Engineer
33722,Anwar,Collette,2001-02-03,Senior Engineer
204117,Jessie,Nooteboom,2000-12-13,Staff
31909,Murthy,Peek,2000-10-30,Engineer
205660,Kien,Barreiro,2000-10-24,Staff
29782,Jouko,Hellwagner,2000-10-23,Senior Engineer
58497,Yechiam,Cairo,2000-10-21,Senior Staff
73743,Anneke,Bernardeschi,2000-10-15,Engineer
83714,Ohad,Kilgore,2000-10-10,Engineer
17369,Yaghout,Kenevan,2000-09-15,Engineer
408163,Irene,Sethi,2000-08-12,Senior Engineer
443873,Vatsa,Ramsay,2000-06-16,Senior Staff
463472,Jaber,Sethi,2000-06-11,Technique Leader
469399,Hongzhu,Ruemmler,2000-06-06,Engineer
233759,Zissis,Lodder,2000-05-27,Engineer
410881,Koichi,Grabner,2000-04-05,Senior Engineer
93549,Arie,Coullard,2000-03-28,Senior Staff
236964,Adel,Foote,2000-03-20,Staff
475258,Fumiyo,Feinberg,2000-02-12,Staff
81545,Larisa,Kornyak,2000-02-07,Technique Leader
203599,Ewing,DiGiano,2000-02-01,Technique Leader
88411,Lena,Cannane,2000-01-28,Engineer
54800,Breannda,Cangellaris,2000-01-27,Staff
217080,Masami,Puoti,2000-01-21,Senior Engineer
246244,George,Casperson,2000-01-20,Staff
78106,Ashish,Ratnaker,2000-01-17,Senior Staff
250452,Alexius,Plavsic,2000-01-17,Senior Engineer
427320,Mamdouh,Ramamoorthy,2000-01-13,Senior Engineer
36844,Hailing,Levergood,2000-01-12,Staff
447232,Aleksander,Schaaf,2000-01-10,Senior Staff
21188,Piyush,Danecki,2000-01-08,Engineer
496970,Giordano,Maquelin,1999-12-31,Senior Engineer
20248,Vidar,Demri,1999-12-31,Staff
33025,Jessie,Thorelli,1999-12-16,Senior Staff
446121,Fay,Cochrane,1999-12-13,Staff
447376,Kirk,Zongker,1999-12-10,Staff
275158,Satyanarayana,Brandsma,1999-12-08,Engineer
488482,Kensyu,Tsunoo,1999-12-05,Engineer
489755,Matk,Chorvat,1999-12-04,Senior Staff
478218,Djenana,Erol,1999-12-03,Engineer
429520,Yongqiao,Francisci,1999-12-01,Engineer
492052,Udo,Ratnakar,1999-11-30,Staff
412757,Leen,Peak,1999-11-20,Engineer
236883,Huan,Olivero,1999-11-19,Staff
231459,Nectarios,Pramanik,1999-11-18,Assistant Engineer
498845,Arumugam,Pelc,1999-11-13,Senior Engineer
478858,Hidekazu,Perna,1999-11-08,Staff
64023,Laurentiu,Benzmuller,1999-11-08,Senior Engineer
458111,Florian,Tramer,1999-11-07,Engineer
79043,Katsuo,Hockney,1999-11-07,Technique Leader
482354,Jayson,Zockler,1999-11-06,Staff
412404,Mitsuyuki,Jeansoulin,1999-10-28,Senior Engineer
30695,Gudjon,Majewski,1999-10-26,Senior Engineer
433157,Tomofumi,Serna,1999-10-23,Staff
294791,Vesna,Lammel,1999-10-08,Assistant Engineer
206748,Yucai,Fabrizio,1999-10-06,Staff
497835,Shuho,Laurillard,1999-10-06,Technique Leader
406847,Alexius,Crouzet,1999-10-05,Staff
64828,Krister,Pappas,1999-09-30,Staff
229727,Ewing,Millington,1999-09-28,Engineer
48690,Hitomi,Schaap,1999-09-27,Staff
14476,Sastry,Marrevee,1999-09-25,Engineer
440325,Douadi,Sullins,1999-09-25,Senior Staff
